intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,86.103,82.68955023579586,89.51709845092249,1.555,55.389,11.21,5.0e-15,2.4e-14,p<0.0001
modeMWH,86.563,83.48353623841909,89.64173358244473,1.406,61.562,11.48,7.9e-16,1.0e-14,p<0.0001
modeMYN,86.697,83.47508075636406,89.91803460251697,1.468,59.069,11.26,2.2e-15,1.3e-14,p<0.0001
modeMDQ,87.991,84.37320442354206,91.60974945713832,1.644,53.528,11,1.2e-14,4.5e-14,p<0.0001
