intercept,lh_slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
modeMDC,modeMWH,-2.42,1.223,-4.817,-0.024,-1.979,10,0.07594238868888147,0.15188477737776293,
modeMDC,modeMYN,3.646,0.887,1.907,5.385,4.109,9.99,0.0021194854883131477,0.004238970976626295,p<0.01
modeMDC,modeMDQ,6.605,1.177,4.298,8.912,5.611,10.09,2.1715826865017444e-4,4.343165373003489e-4,p<0.001
modeMWH,modeMYN,6.066,1.465,3.195,8.937,4.141,10,0.002009437678680178,0.004018875357360356,p<0.01
modeMWH,modeMDQ,9.025,1.703,5.687,12.363,5.3,10.03,3.4445530147905436e-4,6.889106029581087e-4,p<0.001
modeMYN,modeMDQ,2.959,0.765,1.459,4.459,3.867,10,0.0031272862319386844,0.006254572463877369,p<0.01
