intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,253.587,32.468,189.951,317.224,7.81,7.19,9.2469e-05,6.47e-04,p<0.001
modeMWH,252.864,32.608,188.953,316.775,7.755,7.31,8.8522e-05,6.20e-04,p<0.001
modeMYN,252.208,32.59,188.333,316.082,7.739,7.29,9.0794e-05,6.36e-04,p<0.001
modeMDQ,238.928,32.675,174.886,302.97,7.312,7.37,1.2502e-04,8.75e-04,p<0.001
