intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,modeMWH,0.403,0.374,-0.331,1.136,1.076,10.37,0.3063,0.9999,
modeMDC,modeMYN,1.85,0.34,1.183,2.516,5.436,10.4,2.4957e-04,0.0017,p<0.01
modeMDC,modeMDQ,5.003,0.683,3.663,6.343,7.32,10.07,2.4453e-05,1.71e-04,p<0.001
modeMWH,modeMYN,1.447,0.47,0.526,2.368,3.08,9.91,0.0118,0.0823,
modeMWH,modeMDQ,4.6,0.922,2.793,6.408,4.988,10.05,5.3872e-04,0.0038,p<0.01
modeMYN,modeMDQ,3.153,0.8,1.584,4.722,3.939,10.08,0.0027,0.0192,p<0.05
