intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=8),signif. 
L*H,86.994,1.196,84.649,89.338,72.719,9.2,5.16e-14,4.13e-13,p<0.001
^[L*]H,91.176,1.491,88.253,94.099,61.14,0,0.9997,0.9999,
L*^[H],88.529,1.271,86.038,91.02,69.659,9.21,7.51e-14,6.01e-13,p<0.001
^[L*H],90.988,1.418,88.209,93.766,64.188,11.78,2.36e-16,1.89e-15,p<0.001
