intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
modeMDC,88.862,1.212,86.487,91.237,73.33,9.35,3.2e-14,1.2e-13,p<0.0001
modeMWH,89.16,1.206,86.796,91.524,73.924,9.3,3.4e-14,1.2e-13,p<0.0001
modeMYN,90.777,1.156,88.511,93.043,78.514,9.34,1.7e-14,7.9e-14,p<0.0001
modeMDQ,92.948,1.448,90.11,95.786,64.193,12.11,1.0e-16,1.0e-15,p<0.0001
