intercept,term,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
L*H,^[L*]H,-78.887,12.145,-102.69,-55.084,-6.496,617.68,1.70e-10,1.19e-09,p<0.001
L*H,L*^[H],-15.212,5.193,-25.389,-5.035,-2.93,616.84,0.0035,0.0246,p<0.05
L*H,^[L*H],-17.897,2.903,-23.586,-12.207,-6.165,616.12,1.27e-09,8.92e-09,p<0.001
^[L*]H,L*^[H],63.675,13.193,37.818,89.532,4.827,617.63,1.75e-06,1.23e-05,p<0.001
^[L*]H,^[L*H],60.99,12.211,37.057,84.923,4.995,617.48,7.68e-07,5.38e-06,p<0.001
L*^[H],^[L*H],-2.685,5.754,-13.963,8.593,-0.467,616.74,0.641,0.9999,
