intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=8),signif. 
L*H,92.605,1.296,90.065,95.144,71.476,9.14,7.07e-14,5.65e-13,p<0.001
^[L*]H,93.893,1.779,90.406,97.379,52.787,0,0.9944,0.9999,
L*^[H],98.282,1.52,95.302,101.261,64.648,9.42,8.45e-14,6.76e-13,p<0.001
^[L*H],98.17,1.565,95.102,101.238,62.715,10.58,5.93e-15,4.74e-14,p<0.001
