intercept,estimate,std.error,t.value,df,p.value,p.adjusted,signif. (adj.)
modeMDC,31.908,3.514,9.079,12.029581134382061,9.9000e-07,4.9400e-06,p<0.001
modeMWH,34.118,3.224,10.583,9.263100834103328,1.7700e-06,8.8500e-06,p<0.001
modeMYN,33.382,3.517,9.491,11.019714353695273,1.2300e-06,6.1300e-06,p<0.001
modeMDQ,41.013,2.984,13.743,9.755846069067317,1.0000e-07,5.2000e-07,p<0.001
