intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,32.493,5.152,22.395,42.59,6.307,3.63,0.0045,0.0069,p<0.01
acc_phon^[L*]H,21.495,6.317,9.113,33.876,3.403,8.19,0.009,0.0127,p<0.05
acc_phonL*^[H],54.411,5.343,43.938,64.884,10.183,4.2,4.08e-04,8.36e-04,p<0.001
acc_phon^[L*H],38.612,5.208,28.404,48.819,7.414,3.79,0.0022,0.0035,p<0.01
