intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,modeMWH,0.391,0.358,-0.311,1.092,1.091,10.01,0.3009,0.9999,
modeMDC,modeMYN,1.004,0.249,0.516,1.491,4.035,11.33,0.0019,0.0259,p<0.05
modeMDC,modeMDQ,2.777,0.535,1.728,3.827,5.187,12.23,2.1350e-04,0.003,p<0.01
modeMWH,modeMYN,0.613,0.412,-0.194,1.42,1.489,10.44,0.166,0.9999,
modeMWH,modeMDQ,2.387,0.752,0.913,3.861,3.173,11.09,0.0088,0.123,
modeMYN,modeMDQ,1.774,0.546,0.704,2.844,3.249,10.61,0.0081,0.1136,
