intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,95.851,82.05490237657189,109.64766740943882,6.214,15.424,10.28,1.9e-08,3.1e-08,p<0.0001
modeMWH,96.259,82.46261946478765,110.05578359734037,6.215,15.489,10.28,1.9e-08,3.1e-08,p<0.0001
modeMYN,93.647,79.8453163321137,107.44859873225016,6.219,15.057,10.31,2.4e-08,3.6e-08,p<0.0001
modeMDQ,75.209,61.34941993661979,89.06873079691087,6.273,11.99,10.66,1.6e-07,2.4e-07,p<0.0001
fin_phon%,95.851,82.05490237657189,109.64766740943882,6.214,15.424,10.28,1.9e-08,3.1e-08,p<0.0001
fin_phonL%,92.39,78.12440345353056,106.65602630324378,6.607,13.984,13.06,3.1e-09,5.4e-09,p<0.0001
fin_phon^[L%],81.22,66.19909059791027,96.24099434851718,7.147,11.364,17.91,1.3e-09,2.5e-09,p<0.0001
