intercept,estimate,std.error,t.value,df,p.value,p.adjusted,signif. (adj.)
modeMDC,0.899,0.128,7.017,10.296375914211795,3.1320e-05,1.5660e-04,p<0.001
modeMWH,1.084,0.123,8.811,10.071975117203447,4.7600e-06,2.3820e-05,p<0.001
modeMYN,1.585,0.106,14.898,10.580173847966519,2.0000e-08,1.0000e-07,p<0.001
modeMDQ,2.65,0.254,10.413,10.149263573413977,9.7000e-07,4.8500e-06,p<0.001
