intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. 
modeMDC,320.15,25.96,269.27,371.03,12.333,2.97,0.0012,0.0084,p<0.01
modeMWH,320.711,25.96,269.831,371.592,12.354,2.97,0.0012,0.0084,p<0.01
modeMYN,316.133,25.961,265.25,367.016,12.177,2.97,0.0012,0.0087,p<0.01
modeMDQ,300.548,25.968,249.652,351.444,11.574,2.97,0.0014,0.0101,p<0.05
