intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
modeMDC,92.525,1.307,89.963,95.086,70.806,9.27,5.46e-14,3.79e-13,p<0.0001
modeMWH,92.91,1.307,90.349,95.471,71.098,9.27,5.22e-14,3.79e-13,p<0.0001
modeMYN,93.684,1.308,91.12,96.249,71.611,9.31,4.37e-14,3.52e-13,p<0.0001
modeMDQ,94.088,1.323,91.495,96.682,71.1,9.75,1.43e-14,1.55e-13,p<0.0001
acc_phonL*H,92.525,1.307,89.963,95.086,70.806,9.27,5.46e-14,3.79e-13,p<0.0001
acc_phon^[L*]H,93.177,1.865,89.523,96.832,49.969,0,0.9987,1,
acc_phonL*^[H],97.78,1.654,94.538,101.022,59.112,9.52,1.54e-13,9.17e-13,p<0.0001
acc_phon^[L*H],97.602,1.477,94.709,100.496,66.104,11.53,3.11e-16,4.86e-15,p<0.0001
