intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
L*H,5.857,0.439,4.996,6.717,13.34,9.12,2.724464642613266e-7,1.91e-06,p<0.001
^[L*]H,3.219,0.775,1.7,4.738,4.153,81.77,8.010564341209866e-5,5.61e-04,p<0.001
L*^[H],10.043,0.503,9.058,11.029,19.978,15.63,1.5066198205518058e-12,1.05e-11,p<0.001
^[L*H],7.223,0.459,6.324,8.122,15.748,10.86,8.002996219395947e-9,5.60e-08,p<0.001
