intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adjusted,signif. (adj.)
modeMDC,modeMWH,0.314,0.331,-0.335,0.963,0.947,10.09,0.3658,0.9999,
modeMDC,modeMYN,0.116,0.312,-0.495,0.728,0.373,9.73,0.7172,0.9999,
modeMDC,modeMDQ,2.032,0.474,1.103,2.962,4.287,9.26,0.0019,0.0114,p<0.05
modeMWH,modeMYN,-0.197,0.471,-1.12,0.726,-0.419,9.97,0.6843,0.9999,
modeMWH,modeMDQ,1.719,0.575,0.593,2.845,2.991,9.72,0.014,0.0837,
modeMYN,modeMDQ,1.916,0.337,1.255,2.577,5.684,9.45,3.0000e-04,0.0015,p<0.01
