intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value
modeMDC,modeMWH,0.288,-0.061986970433892175,0.6376601616250914,0.178,1.616,616,0.1066402503245588
modeMDC,modeMYN,1.787,1.4357656584087812,2.138199975327069,0.179,9.992,616.12,6.890116731076152e-22
modeMDC,modeMDQ,3.519,3.1426020860728054,3.8949931347235505,0.192,18.369,617.87,1.8615506735470876e-60
modeMWH,modeMYN,1.499,1.1484264846624805,1.8498659857826385,0.179,8.394,616.17,3.2180765562050534e-16
modeMWH,modeMDQ,3.231,2.854104929624235,3.6078172201318592,0.192,16.837,617.94,1.2354459182030068e-52
modeMYN,modeMDQ,1.732,1.3642410056127727,2.0993894540438127,0.187,9.252,617.39,3.5489995368580724e-19
