intercept,term,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=8),signif. 
L*H,^[L*]H,1.145,1.811,-2.405,4.695,0.632,0,1,0.9999,
L*H,L*^[H],5.677,0.625,4.452,6.902,9.086,2.83,0.0035,0.0282,p<0.05
L*H,^[L*H],5.565,0.725,4.145,6.985,7.682,9.24,2.63e-05,2.11e-04,p<0.001
^[L*]H,L*^[H],4.389,1.331,1.781,6.997,3.299,0,0.9987,0.9999,
^[L*]H,^[L*H],4.277,1.31,1.71,6.845,3.266,0,0.9988,0.9999,
L*^[H],^[L*H],-0.112,0.821,-1.722,1.498,-0.136,6.82,0.8957,0.9999,
