intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,6.13,0.443,5.261,6.999,13.825,10.04,7.2912e-08,5.10e-07,p<0.001
modeMWH,6.444,0.472,5.519,7.369,13.659,10.05,8.1082e-08,5.68e-07,p<0.001
modeMYN,6.247,0.434,5.395,7.098,14.38,10.05,4.9470e-08,3.46e-07,p<0.001
modeMDQ,8.163,0.547,7.09,9.236,14.913,10.03,3.5586e-08,2.49e-07,p<0.001
