intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,65.186,13.953,37.838,92.534,4.672,232.56,5.0541e-06,3.54e-05,p<0.001
modeMWH,65.153,14.146,37.427,92.879,4.606,215.78,7.0223e-06,4.92e-05,p<0.001
modeMYN,65.683,14.267,37.721,93.646,4.604,204.56,7.2742e-06,5.09e-05,p<0.001
modeMDQ,51.322,14.518,22.867,79.777,3.535,165.61,5.2883e-04,0.0037,p<0.01
