intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,86.804,1.283,84.289,89.319,67.647,9.07,1.4095e-13,1.13e-12,p<0.001
modeMWH,86.811,1.283,84.296,89.326,67.642,9.08,1.3894e-13,1.11e-12,p<0.001
modeMYN,87.73,1.284,85.214,90.246,68.346,9.08,1.2434e-13,9.95e-13,p<0.001
modeMDQ,87.826,1.288,85.301,90.351,68.181,9.21,9.0246e-14,7.22e-13,p<0.001
acc_phonL*H,86.804,1.283,84.289,89.319,67.647,9.07,1.4095e-13,1.13e-12,p<0.001
acc_phon^[L*]H,89.979,1.392,87.25,92.708,64.624,12.57,3.1112e-17,2.49e-16,p<0.001
acc_phonL*^[H],87.858,1.308,85.294,90.421,67.167,9.79,2.2335e-14,1.79e-13,p<0.001
acc_phon^[L*H],89.798,1.296,87.258,92.338,69.285,9.44,4.2212e-14,3.38e-13,p<0.001
