intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
modeMDC,-1.209,0.785,-2.747,0.33,-1.54,9.9,0.1549,0.3097,p<0.001
modeMWH,-3.629,1.076,-5.738,-1.52,-3.373,7.79,0.0101,0.0203,p<0.001
modeMYN,2.437,0.569,1.321,3.552,4.282,6.08,0.005,0.0101,p<0.001
modeMDQ,5.396,1.016,3.405,7.387,5.313,11.1,2.3996e-04,4.80e-04,p<0.001
