intercept,lh_slope,estimate,std.error,t.value,p.value,p.adjusted,signif. (adj.)
modeMDC,modeMWH,0.185,0.138,1.342,0.2084,0.9999,
modeMDC,modeMYN,0.686,0.14,4.912,5.1514e-04,0.0026,p<0.01
modeMDC,modeMDQ,1.751,0.223,7.864,1.2900e-05,6.4490e-05,p<0.001
modeMWH,modeMYN,0.501,0.15,3.331,0.0077,0.0386,p<0.05
modeMWH,modeMDQ,1.566,0.293,5.343,3.2142e-04,0.0016,p<0.01
modeMYN,modeMDQ,1.065,0.313,3.407,0.0066,0.0331,p<0.05
