intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=7),signif. (adj.)
modeMDC,modeMWH,-0.034,2.998,-5.91,5.843,-0.011,10,0.9913,0.9999,
modeMDC,modeMYN,0.496,4.87,-9.048,10.041,0.102,10.51,0.9208,0.9999,
modeMDC,modeMDQ,-13.864,5.482,-24.608,-3.119,-2.529,12.6,0.0257,0.1797,
modeMWH,modeMYN,0.53,3.388,-6.112,7.171,0.156,10.57,0.8787,0.9999,
modeMWH,modeMDQ,-13.83,4.648,-22.941,-4.719,-2.975,13.08,0.0107,0.0747,
modeMYN,modeMDQ,-14.36,5.092,-24.34,-4.38,-2.82,10.93,0.0168,0.1173,
