intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,6.275,0.368,5.554,6.996,17.055,10.1,8.94e-09,3.36e-08,p<0.0001
acc_phon^[L*]H,3.643,0.876,1.925,5.361,4.157,0,1,1,
acc_phonL*^[H],10.469,0.56,9.372,11.566,18.705,9.82,5.28e-09,2.07e-08,p<0.0001
acc_phon^[L*H],8.034,0.418,7.215,8.852,19.238,9.25,8.95e-09,3.36e-08,p<0.0001
