intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon^[L*]H,4.206,1.313,1.634,6.779,3.204,590.08,0.0014,0.0023,p<0.01
acc_phonL*H,acc_phonL*^[H],1.527,0.407,0.73,2.325,3.752,1.55,0.0936,0.1206,
acc_phonL*H,acc_phon^[L*H],3.982,0.61,2.785,5.178,6.524,8.87,1.16e-04,2.57e-04,p<0.001
acc_phon^[L*]H,acc_phonL*^[H],-2.563,0.964,-4.452,-0.674,-2.66,0,0.9932,1,
acc_phon^[L*]H,acc_phon^[L*H],-0.109,1.019,-2.106,1.888,-0.107,0.04,0.9798,1,
acc_phonL*^[H],acc_phon^[L*H],2.454,0.674,1.133,3.775,3.642,7.92,0.0067,0.0099,p<0.01
