intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,86.988,1.196,84.643,89.333,72.703,9.21,4.99e-14,3.78e-13,p<0.0001
acc_phon^[L*]H,91.078,1.497,88.144,94.013,60.831,0,0.9676,1,
acc_phonL*^[H],88.515,1.27,86.026,91.004,69.707,9.25,6.67e-14,4.46e-13,p<0.0001
acc_phon^[L*H],90.969,1.418,88.19,93.748,64.161,11.76,2.46e-16,4.10e-15,p<0.0001
