slope,intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phon^[L*]H,acc_phonL*H,-78.887,12.145,-102.69,-55.084,-6.496,617.68,1.70e-10,7.59e-10,p<0.0001
acc_phonL*^[H],acc_phonL*H,-15.212,5.193,-25.389,-5.035,-2.93,616.84,0.0035,0.0054,p<0.01
acc_phon^[L*H],acc_phonL*H,-17.897,2.903,-23.586,-12.207,-6.165,616.12,1.27e-09,5.20e-09,p<0.0001
acc_phonL*^[H],acc_phon^[L*]H,63.675,13.193,37.818,89.532,4.827,617.63,1.75e-06,4.76e-06,p<0.0001
acc_phon^[L*H],acc_phon^[L*]H,60.99,12.211,37.057,84.923,4.995,617.48,7.68e-07,2.18e-06,p<0.0001
acc_phon^[L*H],acc_phonL*^[H],-2.685,5.754,-13.963,8.593,-0.467,616.74,0.641,0.7158,
