intercept,term,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
L*H,^[L*]H,-2.638,0.632,-3.878,-1.398,-4.171,620.19,3.472282486657862e-5,2.43e-04,p<0.001
L*H,L*^[H],4.187,0.268,3.661,4.712,15.618,619.13,1.3184006539791928e-46,9.23e-46,p<0.001
L*H,^[L*H],1.366,0.151,1.07,1.662,9.058,617.78,1.7370183314479807e-18,1.22e-17,p<0.001
^[L*]H,L*^[H],6.825,0.688,5.477,8.172,9.926,620.18,1.195553855511415e-21,8.37e-21,p<0.001
^[L*]H,^[L*H],4.004,0.634,2.761,5.247,6.314,619.87,5.179929806388381e-10,3.63e-09,p<0.001
L*^[H],^[L*H],-2.821,0.296,-3.401,-2.24,-9.52,618.89,3.8321610138544336e-20,2.68e-19,p<0.001
