intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon^[L*]H,-10.998,3.621,-18.096,-3.901,-3.037,612.79,0.0025,0.0041,p<0.01
acc_phonL*H,acc_phonL*^[H],21.918,1.548,18.884,24.953,14.157,611.63,1.47e-39,3.97e-37,p<0.0001
acc_phonL*H,acc_phon^[L*H],6.119,0.866,4.422,7.816,7.066,610.63,4.37e-12,2.31e-11,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],32.916,3.934,25.205,40.627,8.366,612.72,4.02e-16,6.03e-15,p<0.0001
acc_phon^[L*]H,acc_phon^[L*H],17.117,3.639,9.986,24.249,4.704,612.5,3.15e-06,8.77e-06,p<0.0001
acc_phonL*^[H],acc_phon^[L*H],-15.799,1.714,-19.159,-12.439,-9.216,611.5,4.89e-19,1.65e-17,p<0.0001
