intercept,term,estimate,std.error,t.value,p.value,p.adjusted,signif. (adj.)
MDC,MWH,-0.084,1.535,-0.055,0.9564,0.9564,
MDC,MYN,4.849,1.123,4.316,1.5890e-05,1.5890e-05,p<0.001
MDC,MDQ,8.027,1.172,6.851,0.0000e+00,0.0000e+00,p<0.001
MWH,MYN,4.933,1.128,4.372,1.2340e-05,1.2340e-05,p<0.001
MWH,MDQ,8.11,1.177,6.891,0.0000e+00,0.0000e+00,p<0.001
MYN,MDQ,3.178,0.408,7.787,0.0000e+00,0.0000e+00,p<0.001
