intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-2.142,-4.881935748315129,0.5987972678464772,1.232,-1.739,10.11,0.112,0.171,
modeMDC,modeMYN,2.874,1.2439369884175633,4.503632297834639,0.733,3.921,10.16,0.003,0.006,p<0.01
modeMDC,modeMDQ,4.951,2.9143666753471575,6.987554370685807,0.926,5.347,11.05,2.3e-04,6.7e-04,p<0.001
modeMWH,modeMYN,5.015,2.1885548536433226,7.842144070014415,1.273,3.941,10.24,0.003,0.005,p<0.01
modeMWH,modeMDQ,7.093,3.698146935951352,10.48689118843695,1.533,4.625,10.51,8.3e-04,0.002,p<0.01
modeMYN,modeMDQ,2.077,0.5959640292067401,3.558387307709246,0.664,3.126,9.97,0.011,0.019,p<0.05
intercept,h_startFALSE,0.699,0.28304058603050053,1.1142828906794169,0.212,3.302,576.75,0.001,0.002,p<0.01
