intercept,lh_slope,estimate,std.error,t.value,p.value,p.adjusted,signif. (adj.)
modeMDC,modeMWH,2.21,2.16,1.023,0.3298,0.9999,
modeMDC,modeMYN,1.473,1.662,0.886,0.3976,0.9999,
modeMDC,modeMDQ,9.105,2.798,3.254,0.0092,0.0461,p<0.05
modeMWH,modeMYN,-0.737,2.843,-0.259,0.8009,0.9999,
modeMWH,modeMDQ,6.895,2.312,2.983,0.0156,0.0782,
modeMYN,modeMDQ,7.632,3.046,2.506,0.0309,0.1544,
