intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
modeMDC,5.605,0.538,4.55,6.661,10.412,10.2,9.33e-07,2.40e-06,p<0.0001
modeMWH,5.865,0.523,4.841,6.889,11.224,9.4,9.38e-07,2.40e-06,p<0.0001
modeMYN,5.679,0.586,4.53,6.827,9.69,9.8,2.48e-06,6.02e-06,p<0.0001
modeMDQ,7.581,0.683,6.243,8.919,11.105,10.95,2.69e-07,7.59e-07,p<0.0001
