intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon^[L*]H,-11.315,8.279,-27.542,4.912,-1.367,619.9,0.1722,0.2174,
acc_phonL*H,acc_phonL*^[H],-20.805,3.542,-27.748,-13.862,-5.873,617.97,6.99e-09,2.53e-08,p<0.0001
acc_phonL*H,acc_phon^[L*H],-23.488,1.98,-27.369,-19.607,-11.861,617.84,2.22e-29,2.78e-27,p<0.0001
acc_phon^[L*]H,acc_phonL*^[H],-9.49,8.998,-27.126,8.145,-1.055,619.15,0.292,0.3596,
acc_phon^[L*]H,acc_phon^[L*H],-12.173,8.32,-28.48,4.134,-1.463,619.98,0.1439,0.1845,
acc_phonL*^[H],acc_phon^[L*H],-2.683,3.922,-10.37,5.004,-0.684,618.83,0.4942,0.572,
