intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. (adj.)
modeMDC,89.163,1.126,86.955,91.37,79.178,11.56,3.5730816871530865e-17,7.146163374306173e-17,p<0.001
modeMWH,89.634,0.98,87.713,91.555,91.44,10.1,4.529916331385137e-16,9.059832662770273e-16,p<0.001
modeMYN,89.924,1.061,87.844,92.004,84.733,11.24,3.909505008144821e-17,7.819010016289643e-17,p<0.001
modeMDQ,91.45,1.31,88.883,94.017,69.821,12.5,1.400045862044425e-17,2.80009172408885e-17,p<0.001
