intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value
modeMDC,modeMWH,0.261,-0.4125482072937214,0.9352755192502593,0.303,0.864,10.05,0.40796830041544496
modeMDC,modeMYN,0.078,-0.6115591570103845,0.7684401130670374,0.309,0.254,9.83,0.8048034873092657
modeMDC,modeMDQ,1.899,0.8116688941698422,2.9861714035686657,0.485,3.919,9.51,0.0031618382462995347
modeMWH,modeMYN,-0.183,-1.176192290800535,0.8103459235668273,0.446,-0.41,9.98,0.6901333316795732
modeMWH,modeMDQ,1.638,0.4040769426719566,2.871036031684591,0.553,2.962,9.9,0.014385131825825695
modeMYN,modeMDQ,1.82,1.071923893803393,2.569035596619637,0.334,5.443,9.68,3.1732083425713923e-4
