term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
ana_syls,51.608,17.203,3,456.185,12.999,3.7e-08,5.9e-07,p<.001
foot_syls,1.693,0.564,3,8.811,0.426,0.739,0.815,
wrd_end_syl,2.084,1.042,2,463.015,0.787,0.456,0.608,
pn_new_word,11.372,11.372,1,461.046,8.593,0.004,0.013,p<.05
gender,17.854,17.854,1,6.392,13.49,0.009,0.024,p<.05
