term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
ana_syls,26.229,8.743,3,8.966,10.332,0.003,0.011,p<.05
foot_syls,10.743,3.581,3,327.641,4.232,0.006,0.017,p<.05
wrd_end_syl,0.394,0.197,2,125.362,0.233,0.793,0.846,
pn_new_word,0.756,0.756,1,4.167,0.894,0.396,0.561,
gender,3.282,3.282,1,9.149,3.879,0.08,0.172,
