intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,-6.09,-8.717336012808833,-3.467839077805537,1.34,-4.55,5.377752480578982e-6,NA,NA
modeMWH,-6.09,-8.716354552443121,-3.465254521502743,1.34,-4.55,5.447690295553839e-6,NA,NA
modeMYN,-4.2,-6.2807759012247075,-2.1199225139485587,1.06,-3.96,7.585347339515739e-5,NA,NA
modeMDQ,-2.03,-2.0322103203184505,-2.0211732945378738,0,-719.8,0,NA,NA
