intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-41.38,-2419.330292165115,2336.5632667193727,1213.26,-0.03,0.9727899608157676,NA,NA
modeMDC,modeMYN,1.46,0.049310692655859745,2.864527958846245,0.72,2.03,0.04249654775000304,NA,NA
modeMDC,modeMDQ,1.39,-0.09933450879629535,2.8881083655385487,0.76,1.83,0.06730622555451164,NA,NA
modeMWH,modeMYN,4119.58,-11519.19813939858,19758.364838026475,7979.12,0.52,0.6056479275998412,NA,NA
modeMWH,modeMDQ,4119.51,-11519.160536110829,19758.18414941927,7979.06,0.52,0.605651672684034,NA,NA
modeMYN,modeMDQ,-0.08,-1.4590639276901742,1.2917336195166966,0.7,-0.12,0.9050978092646176,NA,NA
intercept,genderM,-2.892,-4.976357649487464,-0.8079908515396479,1.063,-2.72,0.006532185148452629,NA,NA
