term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,102.542,34.181,3,10.071,10.55,0.002,0.003,_p_ < .05
gender,103.275,103.275,1,9.836,31.877,2.3e-04,9.1e-04,_p_ < .05
