intercept,estimate,conf.low,conf.high,std.error,z.value,df,p.value
modeMDC,86.568,83.85470034407213,89.28145794149778,1.202,72.031,9.12,7.029440840600179e-14
modeMWH,86.693,83.97972752973837,89.40653215833265,1.202,72.133,9.12,6.923988961314507e-14
modeMYN,88.187,85.47328189124084,90.90037390487026,1.202,73.366,9.12,5.856134240517506e-14
modeMDQ,89.038,86.32228359600457,91.75299862735172,1.204,73.951,9.18,4.61071816501861e-14
fin_phon%,86.568,83.85470034407213,89.28145794149778,1.202,72.031,9.12,7.029440840600179e-14
fin_phonL%,87.137,84.4116581730163,89.86148491814471,1.214,71.764,9.5,2.5893959545919048e-14
fin_phon^[L%],89.275,86.52945322921563,92.02150907723832,1.235,72.268,10.18,3.9145677561597175e-15
