term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,382720.272,191360.136,2,381.459,147.396,3.7e-48,6.7e-47,_p_ < .05
ana_syls,77283.153,25761.051,3,14.148,19.843,2.5e-05,8.8e-05,_p_ < .05
foot_syls,48695.655,16231.885,3,28.444,12.503,2.2e-05,8.6e-05,_p_ < .05
wrd_end_syl,1886.823,943.412,2,87.345,0.727,0.486,0.547,
pn_new_word,1056.027,1056.027,1,5.762,0.813,0.403,0.498,
gender,4673.988,4673.988,1,10.262,3.6,0.086,0.148,
