term,sumsq,meansq,NumDF,DenDF,F value,p.value,signif.
mode,157.777,52.592,3,9.95,13.935,6.775707926941013e-4,p<0.001
gender,92.038,92.038,1,8.741,24.386,8.766075222492925e-4,p<0.001
h_start,41.6,41.6,1,366.575,11.022,9.906566380304836e-4,p<0.001
fin_phon,156.545,156.545,1,349.43,41.477,3.9469734216107587e-10,p<0.001
