speaker,f0_mean,f0_SD
F5,91.351,2.737
F6,91.711,1.987
F12,89.018,2.307
F15,85.424,1.907
F16,90.168,1.388
F17,89.731,1.509
M4,75.305,2.140
M5,82.125,3.070
M8,82.970,2.195
M9,86.098,3.053
M10,82.622,1.752
