acc_phon,1,2,3,4
(*),-0.09,0.34,-0.25,NA
L*,0.05,-0.09,NA,NA
H*,0.51,1.03,1.29,NA
>H*,0.59,1.24,1.52,1.5
L*H,0.88,0.89,1.04,1.62
