npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq),p.adj (BH),signif.
4,220.451,233.704,-106.226,212.451,NA,NA,NA,NA,NA
7,129.166,152.358,-57.583,115.166,97.285,3,6.0e-21,NA,NA
