intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,modeMWH,0.133,0.05469904390553316,0.32155853586352623,0.06,-4.471,7.8e-06,1.3e-05,p<0.0001
modeMDC,modeMYN,5.969,3.512090099318126,10.145664993377991,1.615,6.602,4.1e-11,1.2e-10,p<0.0001
modeMDC,modeMDQ,25.283,13.510400723006684,47.31268486827807,8.084,10.103,5.4e-24,8.1e-23,p<0.0001
modeMWH,modeMYN,45.01,18.63900154744405,108.69035988886132,20.246,8.463,2.6e-17,1.6e-16,p<0.0001
modeMWH,modeMDQ,190.632,74.0216895365677,490.9422575137197,92.009,10.878,1.5e-27,4.4e-26,p<0.0001
modeMYN,modeMDQ,4.235,2.3993353922733767,7.476207152990208,1.228,4.979,6.4e-07,1.4e-06,p<0.0001
