intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value
modeMDC,modeMWH,-4.244,-6.379396033385099,-2.108967204157732,1.089,-3.896,9.786098340791704e-5
modeMDC,modeMYN,2.066,1.4787150886317413,2.653857252454606,0.3,6.893,5.481189878269756e-12
modeMDC,modeMDQ,3.573,2.879198804420153,4.267068105053332,0.354,10.092,5.9914249277339656e-24
modeMWH,modeMYN,6.31,4.160686497519075,8.460185615571197,1.097,5.753,8.750032572094532e-9
modeMWH,modeMDQ,7.817,5.629030090525275,10.005550576440799,1.116,7.002,2.5282085909188503e-12
modeMYN,modeMDQ,1.507,0.9087896855817015,2.1049032363426488,0.305,4.938,7.881936771643497e-7
intercept,genderM,-0.063,-1.6620712633072021,1.536571046159697,0.816,-0.077,0.9387030199360326
