intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-0.365,0.38,-1.111,0.38,-0.961,0.3367,0.3885,
modeMDC,modeMYN,0.766,0.34,0.1,1.433,2.253,0.0243,0.0303,p<0.05
modeMDC,modeMDQ,2.251,0.346,1.574,2.929,6.515,7.27e-11,1.98e-10,p<0.0001
modeMWH,modeMYN,1.132,0.361,0.424,1.839,3.134,0.0017,0.0025,p<0.01
modeMWH,modeMDQ,2.617,0.369,1.894,3.339,7.097,1.28e-12,4.79e-12,p<0.0001
modeMYN,modeMDQ,1.485,0.313,0.872,2.098,4.749,2.04e-06,4.08e-06,p<0.0001
