intercept,estimate,conf.low,conf.high,std.error,z.value,p.value
modeMDC,-5.679,-7.991170533694055,-3.3661471936170013,1.18,-4.813,1.4873015781812834e-6
modeMWH,-5.794,-8.060224097647017,-3.5272021868991352,1.156,-5.01,5.43989462810198e-7
modeMYN,-3.987,-5.434364990591472,-2.539294049910077,0.739,-5.398,6.732413296107835e-8
modeMDQ,-2.082,-3.283333487666381,-0.8808000723297793,0.613,-3.397,6.811386035939326e-4
