speaker,H*,L*H,^[L*]H,>H*,L*^[H],^[L*H]
F5,0,41,0,0,13,6
F6,0,51,0,0,5,4
F12,0,45,0,0,1,14
F15,0,51,0,0,4,5
F16,0,59,0,0,1,0
F17,0,49,0,0,1,10
M4,0,35,0,0,6,19
M5,0,36,0,0,0,24
M8,2,29,6,5,0,19
M9,0,39,0,0,0,21
M10,0,51,0,0,0,9
