intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,-3.483,-6.382204251917589,-0.5843742400586258,1.479,-2.355,0.019,0.037,p<0.05
modeMWH,-3.898,-6.8098337967423515,-0.9862944750792866,1.486,-2.624,0.009,0.021,p<0.05
modeMYN,-2.835,-5.721515510049757,0.05250332374347177,1.473,-1.924,0.054,0.087,
modeMDQ,-1.47,-4.3380287668297175,1.3985936854154473,1.463,-1.004,0.315,0.398,
