intercept,estimate,conf.low,conf.high,std.error,z.value,p.value
modeMDC,-1.686,-3.537796602074903,0.16527832843671253,0.945,-1.785,0.07426019543498767
modeMWH,-5.93,-8.707142240071667,-3.1536795549070207,1.417,-4.186,2.839158805125647e-5
modeMYN,0.38,-1.4522623084727664,2.21229765416983,0.935,0.406,0.6843756018288268
modeMDQ,1.887,0.028716201994612778,3.745078652638315,0.948,1.99,0.04656305826221681
