intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value
modeMDC,modeMWH,-0.381,-1.1388507326661306,0.3774383498720822,0.387,-0.984,0.3250142249828395
modeMDC,modeMYN,0.534,-0.16139292973968855,1.2301103683523404,0.355,1.505,0.13224368263219816
modeMDC,modeMDQ,1.663,0.9628160870417869,2.3634235131655106,0.357,4.655,3.2456247124910353e-6
modeMWH,modeMYN,0.915,0.18161453102428493,1.6485220861848042,0.374,2.445,0.014473913517963998
modeMWH,modeMDQ,2.044,1.3012214329187888,2.7864316575549344,0.379,5.394,6.879550271649135e-8
modeMYN,modeMDQ,1.129,0.4670466962803702,1.7904937026436993,0.338,3.343,8.278440146391296e-4
