intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,p.value
modeMWH,-7.745,1.308,-10.309,-5.181,-5.92,3.21991587311869e-9
modeMYN,-2.67,0.694,-4.03,-1.311,-3.849,1.1853414910213269e-4
modeMDQ,0.486,0.645,-0.778,1.751,0.754,0.450900167231697
