intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,p.value,p.adj (BH),signif.
modeMDC,modeMWH,1.877,1.137,-0.351,4.105,1.651,0.099,0.118,
modeMDC,modeMYN,4.719,1.074,2.613,6.825,4.392,1.1e-05,1.8e-05,p<0.0001
modeMDC,modeMDQ,7.592,1.111,5.414,9.77,6.832,8.4e-12,2.8e-11,p<0.0001
modeMWH,modeMYN,2.842,0.495,1.871,3.813,5.737,9.6e-09,2.4e-08,p<0.0001
modeMWH,modeMDQ,5.715,0.57,4.599,6.832,10.031,1.1e-23,1.1e-22,p<0.0001
modeMYN,modeMDQ,2.874,0.37,2.148,3.599,7.764,8.2e-15,3.5e-14,p<0.0001
