mode,gender,H*,L*H,^[L*]H,>H*,L*^[H],^[L*H]
MDC,F,0,90,0,0,0,0
MDC,M,2,86,0,2,0,0
MWH,F,0,90,0,0,0,0
MWH,M,0,89,0,0,1,0
MYN,F,0,81,0,0,4,5
MYN,M,0,41,4,2,1,42
MDQ,F,0,35,0,0,21,34
MDQ,M,0,10,4,1,5,71
