foot_syls,init_contour,value
1,% (*),5
1,% >H*,1
1,% H*,3
1,% L*,5
1,% L*H,13
1,%H !H*,1
1,%H (*),0
1,%H >H*,0
1,%H H*,1
1,%H L*H,1
1,%L L*H,0
2,% (*),1
2,% >H*,0
2,% H*,1
2,% L*,2
2,% L*H,18
2,%H !H*,1
2,%H (*),1
2,%H >H*,2
2,%H H*,0
2,%H L*H,3
2,%L L*H,1
3,% (*),0
3,% >H*,0
3,% H*,0
3,% L*,0
3,% L*H,27
3,%H !H*,0
3,%H (*),1
3,%H >H*,0
3,%H H*,0
3,%H L*H,2
3,%L L*H,0
4,% (*),0
4,% >H*,0
4,% H*,0
4,% L*,0
4,% L*H,29
4,%H !H*,0
4,%H (*),0
4,%H >H*,1
4,%H H*,0
4,%H L*H,0
4,%L L*H,0
