intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,94.208,6.037,82.377,106.04,15.606,9.75,3.2204e-08,2.58e-07,p<0.001
modeMWH,94.488,6.04,82.65,106.326,15.644,9.77,3.0732e-08,2.46e-07,p<0.001
modeMYN,96.23,6.084,84.305,108.155,15.816,10.06,1.9568e-08,1.57e-07,p<0.001
modeMDQ,78.952,6.479,66.254,91.65,12.186,12.92,1.8651e-08,1.49e-07,p<0.001
acc_phonL*H,94.208,6.037,82.377,106.04,15.606,9.75,3.2204e-08,2.58e-07,p<0.001
acc_phon^[L*]H,98.436,12.563,73.812,123.059,7.835,153.41,7.2554e-13,5.80e-12,p<0.001
acc_phonL*^[H],82.881,7.611,67.964,97.798,10.89,24.41,7.4259e-11,5.94e-10,p<0.001
acc_phon^[L*H],82.65,7.08,68.773,96.526,11.674,18.35,6.2356e-10,4.99e-09,p<0.001
