intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,431.125,346.2277950619779,516.022038703209,31.162,13.835,4.2,1.1558936410149976e-4,NA,NA
foot_syls2,418.872,332.6838183236081,505.0611625929771,32.87,12.743,4.69,8.079763301660908e-5,NA,NA
foot_syls3,563.799,479.32884700077636,648.2700730924593,31.537,17.877,4.41,2.7914716305371315e-5,NA,NA
foot_syls4,745.858,662.1276989254375,829.5886687732898,33.1,22.533,5.28,1.8696271747543673e-6,NA,NA
pre_syls0,431.125,346.2277950619779,516.022038703209,31.162,13.835,4.2,1.1558936410149976e-4,NA,NA
pre_syls1,440.494,356.56834092330473,524.4190209555234,32.193,13.683,4.78,5.146511008119032e-5,NA,NA
pre_syls2,461.314,377.75432461617186,544.87352390628,32.869,14.035,5.19,2.5035794577158457e-5,NA,NA
pre_syls3,470.865,387.41604136056657,554.3142250928486,33.349,14.119,5.5,1.5778137222339493e-5,NA,NA
