intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,86.602,83.15785774431866,90.04637152109727,1.58,54.829,11.91,1.1e-15,3.8e-15,p<0.001
foot_syls2,87.965,84.28462900678342,91.6457006655532,1.719,51.164,14.29,1.4e-17,7.8e-17,p<0.001
foot_syls3,88.271,84.82638164930987,91.71485244866984,1.579,55.885,11.91,8.7e-16,3.7e-15,p<0.001
foot_syls4,87.86,84.17970599927379,91.54087777331492,1.719,51.102,14.29,1.4e-17,7.8e-17,p<0.001
pre_syls0,86.602,83.15785774431866,90.04637152109727,1.58,54.829,11.91,1.1e-15,3.8e-15,p<0.001
pre_syls1,87.108,83.66275110863067,90.55296666615034,1.58,55.124,11.93,9.8e-16,3.8e-15,p<0.001
pre_syls2,86.805,83.20959498032389,90.40101856051784,1.675,51.825,13.87,2.8e-17,1.3e-16,p<0.001
pre_syls3,86.797,83.20152239734047,90.39346508215154,1.675,51.815,13.87,2.8e-17,1.3e-16,p<0.001
